آدینک|ádénk	<i>noun</i><br><ol><li>mirror</li></ol>
قہوہ|qahwa	<i>noun</i><br><ol><li>coffee</li></ol>
لاسی|Lāsi	<i>noun</i><br><ol><li>A popular drink in South Asia.</li><li>A tribal Sindhi group in Eastern Balochistan who speak a Sindhi related language.</li></ol>
لاپ|láp	<i>noun</i><br><ol><li>belly</li><li>abdomen</li><li>tummy</li><li>stomach</li></ol>
لرزگ|larzag	<i>verb</i><br><ol><li>to shiver</li><li>to tremble</li><li>to shake</li></ol>
لعب|la'b	<i>noun</i><br><ol><li>game</li></ol>
لنٹ|lunť	<i>noun</i><br><ol><li>lip</li></ol>
لنکک|lunkuk	<i>noun</i><br><ol><li>(anatomy) finger</li></ol>
لوٹگ|lawťag|loťag	<i>verb</i><br><ol><li>to want</li><li>to desire</li><li>to ask for</li><li>to invite</li></ol>
لوگ|log	<i>noun</i><br><ol><li>house</li><li>home</li></ol>
لکگ|likkag	<i>verb</i><br><ol><li>to write</li></ol>
لہتے|lahte|lahti	<i>adj</i><br><ol><li>some; an unspecified quantity or number of.</li></ol>
لیب|layb	<i>noun</i><br><ol><li>game</li></ol>
مات|mát	<i>noun</i><br><ol><li>mother</li></ol>
مار|már	<i>noun</i><br><ol><li>snake</li><li>serpent</li></ol>
ماس|más	<i>noun</i><br><ol><li>mother</li></ol>
ماما|mámá	<i>noun</i><br><ol><li>maternal uncle (some dialects)</li></ol>
ماڑی|máří	<i>noun</i><br><ol><li>building</li></ol>
ماک|mák	<i>noun</i><br><ol><li>bean</li></ol>
ماہ|máh	<i>noun</i><br><ol><li>moon</li><li>month</li></ol>
ماہی|máhí	<i>noun</i><br><ol><li>fish</li></ol>
ماہیگ|máhíg	<i>noun</i><br><ol><li>fish</li></ol>
مثال|misál	<i>noun</i><br><ol><li>example</li></ol>
مرد|mard	<i>noun</i><br><ol><li>man (male human)</li></ol>
مرشی|marší	<i>adv</i><br><ol><li>today</li></ol>
مروچی|marocí	<i>adv</i><br><ol><li>today</li></ol>
مرچ|mirc	<i>noun</i><br><ol><li>pepper</li></ol>
مرچی	<i>adv</i><br><ol><li>today</li></ol>
مرگ|murg	<i>noun</i><br><ol><li>bird</li></ol>
مزار|mazár	<i>noun</i><br><ol><li>tiger</li></ol>
مزن|mazan|muzan	<i>adj</i><br><ol><li>large, big</li><li>great</li></ol>
مشک|mušk	<i>noun</i><br><ol><li>mouse</li><li>rat</li></ol>
مم|mamm	<i>noun</i><br><ol><li>bear</li></ol>
منٹ|minaťť	<i>noun</i><br><ol><li>minute (unit of time)</li></ol>
مور|mor	<i>noun</i><br><ol><li>ant</li></ol>
موردانگ|mordánag	<i>noun</i><br><ol><li>(anatomy) finger</li></ol>
مورینک|morínk	<i>noun</i><br><ol><li>ant</li></ol>
موشک|múšk	<i>noun</i><br><ol><li>mouse</li><li>rat</li></ol>
موکو|mokú|moko	<i>noun</i><br><ol><li>spider</li></ol>
مچاچ	<i>noun</i><br><ol><li>eyelash</li></ol>
مچگ|micag	<i>verb</i><br><ol><li>to suck</li></ol>
مہلوک|mahlúk	<i>noun</i><br><ol><li>people</li></ol>
مہمان|mihmán	<i>noun</i><br><ol><li>guest</li></ol>
میش|meš	<i>noun</i><br><ol><li>sheep</li></ol>
میمان|memán	<i>noun</i><br><ol><li>guest</li></ol>
نال|nál	<i>noun</i><br><ol><li>horseshoe</li></ol>
نام|nám	<i>noun</i><br><ol><li>name</li><li>reputation</li><li>designation</li></ol>
نان|nán	<i>noun</i><br><ol><li>bread</li></ol>
ناپگ|nápag	<i>noun</i><br><ol><li>navel</li></ol>
ناچ|nác	<i>noun</i><br><ol><li>dance</li></ol>
ناکن|nákun	<i>noun</i><br><ol><li>nail, fingernail</li></ol>
ناکو|náko	<i>noun</i><br><ol><li>uncle</li><li>paternal uncle (some dialects)</li><li>father-in-law</li></ol>
ناہ|náh	<i>noun</i><br><ol><li>date (fruit)</li></ol>
ناہن|náhun	<i>noun</i><br><ol><li>nail, fingernail</li></ol>
نبیسگ|nibísag	<i>verb</i><br><ol><li>to write</li></ol>
نعل	<i>noun</i><br><ol><li>horseshoe</li></ol>
نمونہ|namuna	<i>noun</i><br><ol><li>sample</li><li>specimen</li><li>example</li></ol>
نندگ|nindag	<i>verb</i><br><ol><li>to sit</li></ol>
نو|no	<i>num</i><br><ol><li>nine</li></ol><br><i>noun</i><br><ol><li>nine (digit)</li></ol>
نون|annõ	<i>adv</i><br><ol><li>now</li><li>presently</li><li>at the present time</li></ol>
نوک|nok	<i>adj</i><br><ol><li>new</li></ol>
نویسگ|nivísag	<i>verb</i><br><ol><li>to write</li></ol>
نپس|napas	<i>noun</i><br><ol><li>breath</li></ol>
نگرہ	<i>noun</i><br><ol><li>silver</li></ol>
نگن|nagan	<i>noun</i><br><ol><li>bread</li></ol>
نگوشگ|negóšag|نگوشت	<i>verb</i><br><ol><li>(literary) to listen</li><li>(literary) to pay attention</li></ol>
نہ	<i>num</i><br><ol><li>nine</li></ol><br><i>noun</i><br><ol><li>nine (digit)</li></ol>
نی|ní	<i>adv</i><br><ol><li>now</li></ol>
نیں|ní̃	<i>adv</i><br><ol><li>now</li><li>presently</li><li>at the present time</li></ol>
واب|wáb	<i>noun</i><br><ol><li>sleep</li><li>dream</li></ol>
واجہ|wája	<i>noun</i><br><ol><li>(as a title of respect) Mr., Sir, Lord</li><li>sir, gentleman, lord</li></ol>
واد|wád	<i>noun</i><br><ol><li>salt</li></ol>
وارک|wárk	<i>noun</i><br><ol><li>sister</li></ol>
وانگ|wánag	<i>verb</i><br><ol><li>to read</li></ol>
وانگ جاہ|wánag jáh	<i>noun</i><br><ol><li>school</li><li>educational institution</li></ol>
واہگ	<i>noun</i><br><ol><li>wish</li></ol>
وت|wat	<i>pron</i><br><ol><li>(reflexive) oneself</li><li>(emphatic) one's own</li></ol><br><i>noun</i><br><ol><li>self</li></ol>
وراک	<i>noun</i><br><ol><li>food</li></ol>
ورگ|warag	<i>verb</i><br><ol><li>to eat</li><li>to drink</li></ol><br><i>noun</i><br><ol><li>food</li></ol>
وسپگ|وسپیت|waspag|وپت	<i>verb</i><br><ol><li>to sleep</li></ol>
وش	<i>adj</i><br><ol><li>tasty</li><li>pleasant</li><li>good, fine</li><li>happy</li></ol>
وپسگ|وسپیت|wapsag|وپت	<i>verb</i><br><ol><li>to sleep</li></ol>
وہد|vahd	<i>noun</i><br><ol><li>time</li><li>hour</li></ol>
پاد|pád	<i>noun</i><br><ol><li>foot</li></ol>
پاکستان|pākestān	<i>name</i><br><ol><li>Pakistan</li></ol>
پت|pit	<i>noun</i><br><ol><li>father</li></ol>
پجگ|pujjag	<i>verb</i><br><ol><li>to arrive</li><li>to reach</li></ol>
پرنچگ|princag	<i>verb</i><br><ol><li>to squeeze</li></ol>
پروشگ|prošag	<i>verb</i><br><ol><li>to break</li></ol>
پرک|park	<i>noun</i><br><ol><li>difference</li><li>distinction</li></ol>
پس|pis|pas	<i>noun</i><br><ol><li>father</li><li>sheep</li></ol>
پشی|piší	<i>noun</i><br><ol><li>cat</li></ol>
پل|pull	<i>noun</i><br><ol><li>flower</li></ol>
پلپل|pilpil	<i>noun</i><br><ol><li>pepper</li></ol>
پنج|panj	<i>num</i><br><ol><li>five</li></ol><br><i>noun</i><br><ol><li>five (digit)</li></ol>
پنچ|panc	<i>num</i><br><ol><li>five</li></ol><br><i>noun</i><br><ol><li>five (digit)</li></ol>
پنڈوک|pinďok	<i>noun</i><br><ol><li>beggar</li></ol>
پنیر|paner	<i>noun</i><br><ol><li>cheese</li></ol>
پونز|ponz	<i>noun</i><br><ol><li>nose</li></ol>
پچگ	<i>verb</i><br><ol><li>to arrive</li><li>to reach</li></ol>
پژم|pažam|pažm	<i>noun</i><br><ol><li>wool</li></ol>
پکیر|pakír	<i>noun</i><br><ol><li>beggar</li></ol>
پگل|pugul	<i>noun</i><br><ol><li>frog</li></ol>
پہ|pa	<i>prep</i><br><ol><li>for</li></ol>
پہمگ|pahmag	<i>verb</i><br><ol><li>to understand</li><li>to comprehend</li></ol>
پیر|pír	<i>adj</i><br><ol><li>old</li></ol>
پیسہ|paysa	<i>noun</i><br><ol><li>money</li></ol>
چات|cát	<i>noun</i><br><ol><li>well (water, oil, etc)</li></ol>
چار|cár	<i>num</i><br><ol><li>four</li></ol><br><i>noun</i><br><ol><li>four (digit)</li></ol>
چاشت|cášt	<i>noun</i><br><ol><li>lunch</li></ol>
چاندی|cá̃dí|cándí	<i>noun</i><br><ol><li>silver</li></ol>
چاپ|cáp	<i>noun</i><br><ol><li>clap</li><li>dance</li></ol>
چاپ جنگ|cáp janag	<i>verb</i><br><ol><li>to clap</li></ol>
چرگ|carag	<i>verb</i><br><ol><li>to graze</li><li>to pasture</li></ol>
چلہ|calla	<i>noun</i><br><ol><li>ring (jewellery)</li></ol>
چم|camm	<i>noun</i><br><ol><li>eye</li></ol>
چمچہ|camca	<i>noun</i><br><ol><li>spoon</li></ol>
چمگ|cammag	<i>noun</i><br><ol><li>fountain</li><li>spring</li><li>source</li></ol>
چپ|capp	<i>adj</i><br><ol><li>left</li></ol>
چک|cukk	<i>noun</i><br><ol><li>child</li><li>kid</li></ol>
چھرگ|charag	<i>verb</i><br><ol><li>to graze</li><li>to pasture</li></ol>
چھم|cham	<i>noun</i><br><ol><li>eye</li></ol>
چہ|ca	<i>prep</i><br><ol><li>from</li></ol>
کاسگ|kásag	<i>noun</i><br><ol><li>bowl</li></ol>
کانود|kánúd	<i>noun</i><br><ol><li>law</li><li>statute</li><li>rule</li></ol>
کاوہ|káwa	<i>noun</i><br><ol><li>coffee</li></ol>
کاکہ|káka	<i>noun</i><br><ol><li>uncle (mother's brother, some dialects)</li></ol>
کاگد|kágad	<i>noun</i><br><ol><li>paper</li></ol>
کتاب جاہ|kitáb jáh	<i>noun</i><br><ol><li>library</li></ol>
کمبل	<i>noun</i><br><ol><li>blanket</li></ol>
کندگ|kandag	<i>verb</i><br><ol><li>to laugh</li></ol>
کنگ|کرت|kanag	<i>verb</i><br><ol><li>to do</li><li>to make</li></ol>
کور|kor	<i>adj</i><br><ol><li>blind</li></ol><br><i>noun</i><br><ol><li>river</li></ol>
کوشست|košast	<i>noun</i><br><ol><li>try</li><li>attempt</li><li>effort</li><li>endeavour</li><li>labor</li></ol>
کونڈ|konď	<i>noun</i><br><ol><li>knee</li></ol>
کوپگ|kawpag	<i>noun</i><br><ol><li>shoulder</li></ol>
کوہ|koh	<i>noun</i><br><ol><li>mountain</li></ol>
کپوت|kapōt	<i>noun</i><br><ol><li>pigeon</li></ol>
کپگ|kapag	<i>verb</i><br><ol><li>to fall</li></ol>
کچک|kucak	<i>noun</i><br><ol><li>dog</li></ol>
کھور|khor	<i>adj</i><br><ol><li>blind</li></ol>
کہن|kwahn	<i>adj</i><br><ol><li>old</li><li>worn-out</li></ol>
گار|gár	<i>adj</i><br><ol><li>lost</li><li>missing</li><li>destroyed</li></ol>
گام|gám	<i>noun</i><br><ol><li>step</li></ol>
گدان|gedán	<i>noun</i><br><ol><li>tent</li></ol>
گران|giran	<i>adj</i><br><ol><li>heavy</li></ol>
گراں|gerá̃	<i>adj</i><br><ol><li>heavy</li></ol>
گربگ|gurbag	<i>noun</i><br><ol><li>cat</li></ol>
گردن|gardan|gardin	<i>noun</i><br><ol><li>neck</li></ol>
گروک|girok	<i>noun</i><br><ol><li>lightning</li></ol>
گرک|gurk	<i>noun</i><br><ol><li>wolf</li></ol>
گرگ|girag	<i>verb</i><br><ol><li>to grab</li><li>to grip</li><li>to take</li><li>to get</li><li>to catch</li><li>to hold</li><li>to seize</li><li>to receive</li></ol>
گزرک|gazirk|gizirk	<i>noun</i><br><ol><li>carrot</li></ol>
گس|gis	<i>noun</i><br><ol><li>house</li><li>home</li></ol>
گلو|galo	<i>noun</i><br><ol><li>door</li></ol>
گندگ|gindag	<i>verb</i><br><ol><li>to see</li></ol>
گنوک|ganok	<i>adj</i><br><ol><li>mad</li><li>insane</li><li>crazy</li></ol>
گوات|gwát	<i>noun</i><br><ol><li>wind</li></ol>
گواتو|gwátú	<i>noun</i><br><ol><li>hand-held fan (used for cooling oneself)</li><li>fan (electrical)</li></ol>
گوارگ|gwárag	<i>verb</i><br><ol><li>to rain</li></ol>
گوراگ|gwarág	<i>noun</i><br><ol><li>crow (bird)</li></ol>
گوش|goš	<i>noun</i><br><ol><li>ear</li></ol>
گوشت|gošt	<i>noun</i><br><ol><li>meat</li></ol>
گوشگ|gwašag|gušag|gošag|گوشت	<i>verb</i><br><ol><li>to say</li><li>to tell</li></ol>
گوک|gúk|gok	<i>noun</i><br><ol><li>cow</li></ol>
گوہار|gohár	<i>noun</i><br><ol><li>sister</li></ol>
گژنگ|gužnag	<i>adj</i><br><ol><li>hungry</li></ol>
گہار|guhár	<i>noun</i><br><ol><li>sister</li></ol>
گہتر|gihtar	<i>adj</i><br><ol><li>better</li></ol>
گیست|gíst	<i>num</i><br><ol><li>twenty</li></ol>
گیشتر|geštar	<i>adv</i><br><ol><li>more</li></ol>
ہاروس|halos	<i>noun</i><br><ol><li>marriage, wedding</li></ol>
ہامون|hamun	<i>noun</i><br><ol><li>lake</li></ol>
ہاور|háwr	<i>noun</i><br><ol><li>(meteorology) rain</li></ol>
ہاک|hák	<i>noun</i><br><ol><li>earth</li><li>soil</li><li>dust</li><li>dirt</li><li>clay</li></ol>
ہدا|huda	<i>noun</i><br><ol><li>God, god</li></ol>
ہر|har	<i>noun</i><br><ol><li>donkey, ass</li></ol>
ہرگ|harrag	<i>noun</i><br><ol><li>saw</li></ol>
ہزار|hazár	<i>noun</i><br><ol><li>thousand</li></ol>
ہشت|hašt	<i>num</i><br><ol><li>eight</li></ol><br><i>noun</i><br><ol><li>eight (digit)</li></ol>
ہشتر|huštur|huštir	<i>noun</i><br><ol><li>camel</li></ol>
